Name,Symbol,Last Price,Last Price_Currency,Today's price Change - %,Volume,Chart,1-Year Trailing Total Return
I3 Energy PLC *,I3E:LSE,12.74,GBX,0,0,--,n/a
IG Group Holdings PLC,IGG:LSE,1362,GBX,0.96367679762787251,367255,--,n/a
Impax Asset Management Group PLC,IPX:LSE,145.4,GBX,0.97222222222222621,725833,--,n/a
Inchcape PLC,INCH:LSE,885,GBX,-0.056465273856578208,486781,--,n/a
International Biotechnology Trust,IBT:LSE,912,GBX,0.66225165562913912,57266,--,n/a
International Public Partnerships Limited,INPP:LSE,129.20000000000002,GBX,0.62305295950156647,2467880,--,n/a
IP Group PLC,IPO:LSE,58,GBX,0.694444444444442,1605216,--,n/a
iShares MSCI AC Far East ex-Japan Small Cap UCITS ETF USD (Dist),ISFE:LSE:GBX,3381,GBX,-1.1403508771929824,3450,--,n/a
ITV PLC,ITV:LSE,80.65,GBX,0.81250000000000711,6644907,--,n/a
Jadestone Energy PLC,JSE:LSE,25,GBX,0,307239,--,n/a
James Halstead PLC,JHD:LSE,135,GBX,1.5037593984962405,425261,--,n/a
JD Sports Fashion PLC,JD.:LSE,78.18,GBX,-0.30604437643457649,7624182,--,n/a
Keller Group PLC,KLR:LSE,2020,GBX,1.1011011011011012,141065,--,n/a
Kenmare Resources PLC,KMR:LSE,264.5,GBX,2.1235521235521237,360146,--,n/a
Kromek Group PLC,KMK:LSE,11.9,GBX,0,1266272,--,n/a
Legal & General Group PLC,LGEN:LSE,274.8,GBX,0.88105726872247958,28471278,--,n/a
Lendinvest PLC,LINV:LSE,32.5,GBX,-1.5151515151515151,9139,--,n/a
Liontrust Asset Management PLC,LIO:LSE,252.5,GBX,3.0612244897959182,194623,--,n/a
Lloyds Banking Group plc,LLOY:LSE,104.15,GBX,2.1078431372549074,156634770,--,n/a
Logistics Development Group PLC,LDG:LSE,15.15,GBX,0,338622,--,n/a
LondonMetric Property PLC,LMP:LSE,213.60000000000002,GBX,0.093720712277421292,4613486,--,n/a
Lords Group Trading PLC,LORD:LSE,24.5,GBX,0,113708,--,n/a
Lowland Investment Company Plc,LWI:LSE,181.5,GBX,1.1142061281337048,121595,--,n/a
M&G Credit Income Investment Trust plc,MGCI:LSE,94.4,GBX,0,296660,--,n/a
M&G PLC,MNG:LSE,322.40000000000003,GBX,1.1609664261060701,5529196,--,n/a
Man Group PLC,EMG:LSE,273.2,GBX,0.14662756598239635,1149128,--,n/a
Mears Group PLC,MER:LSE,356.5,GBX,-0.55788005578800559,1377428,--,n/a
Mercia Asset Management PLC,MERC:LSE,29.5,GBX,0,330868,--,n/a
Michelmersh Brick Holdings PLC,MBH:LSE,88,GBX,0.5714285714285714,118426,--,n/a
Middlefield Canadian Enhanced Income UCITS ETF,MCTP:LSE:GBX,614.35,GBX,-0.51012145748987481,7076,--,n/a
Midwich Group PLC,MIDW:LSE,224,GBX,3.225806451612903,48118,--,n/a
MJ Gleeson PLC,GLE:LSE,350,GBX,1.4492753623188406,82414,--,n/a
Molten Ventures PLC,GROW:LSE,476.8,GBX,0.84602368866328259,329921,--,n/a
Montanaro UK Smaller Companies Trust,MTU:LSE,105,GBX,0.4784688995215311,350058,--,n/a
MONY Group PLC,MONY:LSE,152.9,GBX,1.527224435590977,1904383,--,n/a
Morgan Advanced Materials PLC,MGAM:LSE,238.5,GBX,1.2738853503184713,1829029,--,n/a
MTI Wireless Edge Ltd,MWE:LSE,57.5,GBX,-1.7094017094017093,45547,--,n/a
NatWest Group PLC,NWG:LSE,615.6,GBX,-0.25923525599481895,20397364,--,n/a
Newriver Reit PLC,NRR:LSE,76.4,GBX,0.52631578947369173,756157,--,n/a
NextEnergy Solar Ord,NESF:LSE,49.7,GBX,0.70921985815603128,1797117,--,n/a
Norcros PLC,NXR:LSE,349,GBX,-1.4124293785310735,32294,--,n/a
North Atlantic Smaller Companies,NAS:LSE,366,GBX,0.5494505494505495,28658,--,n/a
NWF Group PLC,NWF:LSE,138.5,GBX,-0.35971223021582732,114598,--,n/a
Octopus Renewables Infrastructure Trust PLC,ORIT:LSE,53.900000000000006,GBX,-0.18518518518517466,2034847,--,n/a
Orchard Funding Group PLC,ORCH:LSE,60,GBX,0,30948,--,n/a
OSB Group PLC,OSB:LSE,607.5,GBX,1.08153078202995,521958,--,n/a
Patria Private Equity Trust plc,PPET:LSE,618,GBX,-0.96153846153846156,50091,--,n/a
Persimmon PLC,PSN:LSE,1536.5,GBX,0.35924232527759636,815835,--,n/a
Petrotal Corp,PTAL:LSE,21.5,GBX,2.3809523809523809,669466,--,n/a
Pets at Home Group PLC,PETS:LSE,224,GBX,0.35842293906810546,668425,--,n/a
Pfizer Inc,PFE:NYQ,26.65,USD,-0.78183172002978729,44697296,--,n/a
Phoenix Group Holdings PLC,PHNX:LSE,767.5,GBX,0.8541392904073587,2326911,--,n/a
Phoenix Spree Deutschland Ltd Ord,PSDL:LSE,174.75,GBX,-0.42735042735042733,14912,--,n/a
